Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
13781-10524,1,"Tesla, Inc.",5-Day,,,APR-2025,5YJ3E1EA2KF, ,,Tesla,Model 3, ,2019.0, ,35e0c327beb6657,62340.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,"Unknown, see Narrative",, , , , , , ,Y, ,,2025-03-01, ,APR-2025,10:50, ,a8f38444c19dd51,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Lake Arrowhead, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,35.0, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Parked,Unknown,Unknown, , ,Y, , ,Y, , ,Y, , ,Lane / Road Departure,Yes,Unknown,Unknown,30.0, , , , , , , , ,Y,Y, , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10417,2,"Tesla, Inc.",10-Day Update,,,APR-2025,5YJ3E1EB6JF, ,,Tesla,Model 3, ,2018.0, ,67e5102dab4f31a,79712.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , , , , , ,Y, ,,2025-04-01, ,APR-2025,21:47, ,7f324efe3a44afe,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ventura, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,Traffic Incident,65.0, ,Daylight,Y, , , , , , , ,,Motorcycle,Fatality,Yes,Proceeding Straight,Not Applicable,Unknown, , , , , ,Y, , , , , ,Proceeding Straight,No,Unknown,Unknown,1.0, , , , ,Y,Y, , , , , , ,Y, ,Y, ,Y,Y, , ,Yes,California Highway Patrol, ,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
1243-10019,2,"Subaru of America, Inc.",Update,,,APR-2025,JF2SKAMC6NH, ,,Subaru,Forester, ,2022.0, ,b53a7979ded2ac2,34153.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,Y, ,, ,Y,,, ,Y,No,,No,ADAS,, ,Y, , , , , , ,,2025-02-01, ,FEB-2025,12:30, ,7304edfcca512b9,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Weed, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65.0, ,Daylight,Y, , , , , , , ,,Other Fixed Object,Minor,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,70.0, ,Y, ,Y, , ,Y, , ,Y, , ,Y, , , , , , , ,Unknown,,Y,Yes,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"Based on the customer's statement, the subject vehicle was travelling at a speed of 50-60 MPH on [XXX] southbound near [XXX] at 12:30 PM (PST) with Adaptive Cruise Control (ACC) and Lane Centering (LCF) engaged. The driver was following a box truck driven by her fiancee. The customer further stated that the vehicle was traveling through a section of highway where a cement divider was close to the lane of travel and that the ""wheel jerked"". The vehicle struck the divider with the left rear wheel and the vehicle then crossed to the right side of the highway and struck a wall. The customer was unable to state in which direction the wheel had jerked. The customer stated that the vehicle was beeping but the driver was not looking at the dashboard when the incident was occurring. There were no airbags deployed, and the customer reportedly sustained minor injuries. The subject vehicle was reportedly towed from the scene.
Subaru inspected the subject vehicle on 3/25/2025. Carfax and repair records indicated the vehicle had recently been involved in a previous incident on 1/08/2025 where the inner and outer tie-rods were damaged. Repairs included an alignment and EyeSight camera recalibration. As related to this incident, there was accident damage to the rear left suspension, wheel, wheel opening garnish, and bumper cover. The front bumper cover, grille, and right headlight were also damaged.
[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]
Based on the vehicle inspection and the data acquired, Subaru determined that there were no abnormalities with the ACC or LCF systems. The roadway was curving to the right, but the steering input was almost neutral [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. LCF was not engaged and there were no abrupt steering changes left or right prior to initial impact [REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]. The data indicated there was no driver steering input until after the first impact.",Y
13781-10469,1,"Tesla, Inc.",5-Day,,,APR-2025,5YJXCDE22JF, ,,Tesla,Model X, ,2018.0, ,df1d4554775dcc0,61185.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-04-01, ,APR-2025,21:24, ,be68f3428dbb168,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Baldwin Park, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,65.0, ,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,48.0, , , , , , , , , , , ,Y,Y, ,Y, , ,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10467,1,"Tesla, Inc.",5-Day,,,APR-2025,5YJ3E1EB2JF, ,,Tesla,Model 3, ,2018.0, ,69142c6df1d47e0,122863.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-04-01, ,APR-2025,06:57, ,744fc2677bde403,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Stockton, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Unknown,Unknown,Unknown,50.0, ,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,28.0, , , , , , , , , , , ,Y,Y, ,Y, , ,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10465,1,"Tesla, Inc.",5-Day,,,APR-2025,5YJ3E1EA0SF, ,,Tesla,Model 3, ,2025.0, ,a3ce42f785284cf,9398.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-04-01, ,APR-2025,16:08, ,f0f4e41a385cf83,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Mountain View, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,35.0, ,Daylight, , ,Y, , , , , ,,Other Fixed Object,Unknown,Yes,,,, , , , , , , , , , , ,Lane / Road Departure,Yes,Unknown,Unknown,32.0, ,Y,Y,Y, , , , , , , , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10464,1,"Tesla, Inc.",5-Day,,,APR-2025,7SAYGDED5RF, ,,Tesla,Model Y, ,2024.0, ,b76c4cd29f0f286,8819.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-04-01, ,APR-2025,09:25, ,a90baed2d01a852,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,Unknown,30.0, ,Dark - Lighted,Y, , , , , , , ,,SUV,Unknown,Yes,Unknown,Unknown,Unknown,Y,Y,Y, , , , , , , , ,Unknown,Yes,Unknown,Unknown,50.0, , , ,Y, , ,Y, , ,Y, , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-10462,1,"Tesla, Inc.",5-Day,,,APR-2025,7SAYGAEE1PF, ,,Tesla,Model Y, ,2023.0, ,afa91a7086ebaf4,33716.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , ,Y, , , , , ,,2025-04-01, ,APR-2025,23:57, ,4201155b1e0eaa8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Burbank, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Wet,Unknown,65.0, ,Daylight, , , , ,Y, , , ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,,Y, , , , , , , , , , ,Y,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
502-10412,1,Ford Motor Company,5-Day,,,APR-2025,7SAYGDEE7TF, ,,Tesla,Y, ,2025.0, ,82ba93879b3c307,,Y,In-Vehicle (Commercial / Test),Full Self Driving, , ,,Y, ,,Y, ,"Tesla, Inc.", , ,,, ,Y,No,,No,ADAS,Ford Motor Company, , , , , , , ,Y,Employee Evaluation/Operation,2025-04-01, ,APR-2025,08:40, ,602aed913abca02,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Altos, ,CA ,,Y,Street,Dry,No Unusual Conditions,50.0, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,"Other, see Narrative",No,Yes,Yes,,Y, , , ,Y, , , , , , , , , , , ,Y, , , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025, a Tesla Model Y, operated by Ford personnel for evaluation purposes, was involved in a rear-end collision while using Autopilot/ Full Self Driving (FSD). The Tesla Model Y was exiting Highway [XXX] North onto [XXX] and continued in FSD as it merged onto [XXX]. As the Tesla Model Y was slowing down due to traffic flow, it was rear-ended by a Volkswagen ID.4. Following the collision, the electronic parking brake was automatically engaged, a ""Vehicle may not restart"" message was displayed in the center screen, and the driver was unable to restart the vehicle therefore, the vehicle was towed. Video of the accident was recorded and retrieved from the Tesla.  The vehicle video shows the Tesla slowing to a stop in line with the flow of traffic when it was rear-ended by the Volkswagen.  Ford is not aware of any injuries and understands that neither vehicle experienced an airbag deployment.  Ford is reporting this incident under the SGO because the vehicle was towed from the scene and this was a Ford owned and operated vehicle.",
13781-10417,1,"Tesla, Inc.",1-Day,,,APR-2025,5YJ3E1EB6JF, ,,Tesla,Model 3, ,2018.0, ,67e5102dab4f31a,79712.0, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,,Y, ,,, ,Y,No,,No,ADAS,, , , , , , ,Y, ,,2025-04-01, ,APR-2025,21:47, ,7f324efe3a44afe,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ventura, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,"Other, see Narrative",65.0, ,Daylight,Y, , , , , , , ,,Motorcycle,Fatality,Yes,Proceeding Straight,Not Applicable,Unknown, , , , , ,Y, , , , , ,Unknown,No,Unknown,Unknown,1.0, , , , ,Y, , , , , , , ,Y, ,Y, ,Y,Y, , ,Yes,California Highway Patrol, ,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
