Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS System Version,ADAS/ADS System Version - Unk,ADAS/ADS System Version CBI,ADAS/ADS Hardware Version,ADAS/ADS Hardware Version - Unk,ADAS/ADS Hardware Version CBI,ADAS/ADS Software Version,ADAS/ADS Software Version - Unk,ADAS/ADS Software Version CBI,Other Reporting Entities?,Other Reporting Entities? - Unk,Other Reporting Entities? - NA,Federal Regulatory Exemption?,Other Federal Reg. Exemption,Federal Reg. Exemption - Unk,Federal Reg. Exemption - No,State or Local Permit?,State or Local Permit,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity Alleged,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?,Approx_Latitude,Approx_Longitude
30270-10438,1,Waymo LLC,Monthly,3.0,2025.0,APR-2025,SADHW2S12R1, ,,Jaguar,I-Pace, ,2024.0, ,e7c7d499b6f8f51,23138.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,2025-03-01, ,MAR-2025,11:01, ,a2fc403c2ef36ee,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,35.0, ,Daylight,Y, , , , , , , ,,Pickup Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0.0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 11:01 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving a pickup truck on [XXX] at [XXX]. 
The Waymo AV was stopped facing southwest on [XXX] in the left turn lane at the intersection of [XXX] waiting for northeastbound traffic to clear before proceeding to turn left onto [XXX]. While the Waymo AV remained stopped as it yielded to traffic, a pickup truck that was stopped directly behind the Waymo AV moved forward and the front of the pickup truck made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",,34.0536909,-118.242766
30270-10497,1,Waymo LLC,5-Day,,,APR-2025,SADHW2S12M1, ,,Jaguar,I-Pace, ,2021.0, ,b6ab54ad1accaba,132178.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,2025-04-01, ,APR-2025,11:17, ,36299db7911dfd0,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Daylight, , ,Y, , , , , ,,Other Fixed Object,No Injuries Reported,Yes,,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,Yes,15.0, , , , , , , , , , ,Y, , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 11:17 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a curb on [XXX] near [XXX]. 
The Waymo AV was traveling eastbound on [XXX] in the left lane when the passenger side front tire made contact with the curb of the [XXX], [XXX] and [XXX] causing the tire to deflate. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away. Waymo may supplement or correct its reporting with additional information as it may become available.",,37.7792588,-122.4193286
30270-10472,1,Waymo LLC,5-Day,,,APR-2025,SADHW2S11R1, ,,Jaguar,I-PACE, ,2024.0, ,a408dead6df7aab,47697.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,2025-04-01, ,APR-2025,12:03, ,37d2c7db4e66423,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25.0, ,Daylight, , ,Y, , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,Yes,No, , , , , ,Y, , , , , ,Proceeding Straight,No,Yes,Yes,10.0, , , , , , , ,Y,Y, , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On April [XXX], 2025 at 12:03 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV stopped for a stop sign on southbound [XXX] at the intersection with [XXX]. The Waymo AV then proceeded forward through the intersection and a passenger car that was stopped facing east on [XXX] and had arrived at the intersection after the Waymo AV entered the intersection and the front of the passenger car made contact with the passenger side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 1 of Standing General Order 2021-01 because a vehicle involved was towed away and because of airbag deployment. Waymo may supplement or correct its reporting with additional information as it may become available.",,37.7792588,-122.4193286
30270-10452,1,Waymo LLC,Monthly,3.0,2025.0,APR-2025,SADHW2S1XR1, ,,Jaguar,I-Pace, ,2024.0, ,a3a67ca935f8b01,20800.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,2025-03-01, ,MAR-2025,00:53, ,e65533d2253e434,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Dark - Lighted,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, ,Y, , , , , , , , , ,Stopped,No,No,Yes,0.0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 12:53 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was stopped for a rider pickup facing east on [XXX] when an SUV traveling west on [XXX] passed the Waymo AV.  As the SUV passed the stopped Waymo AV, the driver side of the SUV made contact with the rear driver side of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The SUV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",,34.0536909,-118.242766
30270-10454,1,Waymo LLC,Monthly,3.0,2025.0,APR-2025,SADHW2S1XR1, ,,Jaguar,I-PACE, ,2024.0, ,67fce9a33f73773,3855.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,2025-03-01, ,MAR-2025,20:01, ,bb7242ab0c21676,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Backing,No,No, , , ,Y, , , , , , , ,Stopped,No,No,Yes,0.0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 8:01 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was stopped in a queue of westbound traffic for a red traffic light on [XXX] near the intersection with [XXX]. A passenger car directly in front of the Waymo AV reversed at a low rate of speed and the rear of the passenger car made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",,37.7792588,-122.4193286
30270-10447,1,Waymo LLC,Monthly,3.0,2025.0,APR-2025,SADHW2S13R1, ,,Jaguar,I-PACE, ,2024.0, ,39edc3a2b668bd4,44046.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,2025-03-01, ,MAR-2025,13:05, ,a1a9f216f0b940f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Daylight,Y, , , , , , , ,,SUV,Minor,No,Backing,No,No,Y, , , , , , , , , , ,Parked,No,No,"No, see Narrative",0.0, , , , , , , , ,Y, , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 1:05 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was parked near the curb facing east on [XXX] for a rider drop-off.  The rider opened the rear passenger door and was exiting the Waymo AV when an SUV reversed out of a driveway to the right of the Waymo AV and the rear driver side of the SUV made contact with the open rear passenger door of the stationary Waymo AV resulting in the door of the Waymo AV making contact with the rider's leg.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passenger in the Waymo AV alleged a minor injury and was not belted at the time of the collision as they were preparing to exit the Waymo AV.  
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",,37.7792588,-122.4193286
30270-10446,1,Waymo LLC,Monthly,3.0,2025.0,APR-2025,SADHW2S10M1, ,,Jaguar,I-PACE, ,2021.0, ,9dfadc4748614b2,115121.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,2025-03-01, ,MAR-2025,04:23, ,d40963f83336275,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Dark - Lighted,Y, , , , , , , ,,Pickup Truck,No Injuries Reported,Yes,Backing,No,No, , , ,Y, , , , , , , ,Parked,No,No,No Passengers in Vehicle,0.0, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 4:23 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a pickup truck on [XXX] near [XXX]. 
The Waymo AV was parked at the curb facing east on [XXX] when a pickup truck attempting to parallel park in front of the Waymo AV reversed, and the rear of the pickup truck made contact with the front of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",,37.7792588,-122.4193286
30610-10399,2,"Zoox, Inc.",10-Day Update,,,APR-2025,7Z00XVHXXRK, ,,Zoox,sedan, ,2024.0, ,f69c1d9a952c50a,22539.0, ,,B329.25.04.04, , ,B329.25.04.04, , ,B329.25.04.04, , ,, ,Y,,, ,Y,Yes (specify below),CA DMV AVT Permit,Yes,ADS,Zoox, , , , ,Y,Y, , ,,2025-04-01, ,APR-2025,09:33, ,ed38cb58ec4a1f5,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25.0, ,Daylight,Y, , , , , , , ,,Non-Motorist: Cyclist,No Injuries Reported,Yes,Making Left Turn,,, , , , , , , , , , , ,Proceeding Straight,No,Yes,No Passengers in Vehicle,9.0, , , , , , , , ,Y, , , , , ,Y, ,Y, , , ,No,, ,No,, ,, ,, ,Yes, ,"An unoccupied Zoox vehicle in autonomy was stopped at a red light in the right travel lane on southbound [XXX] at the intersection with [XXX] and [XXX] in San Francisco. At that time, a cyclist on an eBike came to a stop in the bike lane to the right of the Zoox vehicle. The cyclist began to proceed before the light turned green and headed straight. After the light turned green, the Zoox vehicle proceeded straight towards [XXX]. While nearly through the intersection, the cyclist abruptly veered left into the path of the Zoox vehicle and accelerated toward the front of the Zoox vehicle in violation of a red crosswalk signal and in violation of the Zoox vehicle's right-of-way. The Zoox vehicle appropriately braked hard in response to the cyclist's maneuver, but contact was unavoidable. The eBike laterally impacted the Zoox vehicle's right front fender and body side, then the cyclist impacted the right front body of the Zoox vehicle. The Zoox vehicle then came to a full stop. The cyclist then rode over to the sidewalk and remained briefly stopped on the sidewalk before getting back on the eBike and riding away. The Zoox vehicle cleared the intersection, then pulled over on [XXX], and shortly after was towed from the scene for inspection. The Zoox vehicle sustained minor damage to the right front body. The police were not called. No injuries were reported nor apparent with the cyclist.
The content of this report is unchanged from the initial report and provides complete information to date for this incident.",,37.7792588,-122.4193286
30270-10488,1,Waymo LLC,Monthly,3.0,2025.0,APR-2025,SADHW2S19R1, ,,Jaguar,I-Pace, ,2024.0, ,901ac6c47f6f733,25195.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,2025-03-01, ,MAR-2025,22:03, ,a67d18fe1fddf3d,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Inglewood, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,40.0, ,Dark - Lighted,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,No Passengers in Vehicle,0.0, , , , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 10:03 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Inglewood, California was in a collision involving a passenger car on [XXX] at [XXX]. 
The Waymo AV was traveling southbound on [XXX] and came to a stop in a queue of traffic for a red light at the intersection at [XXX]. As the light remained red and the Waymo AV remained stopped, a passenger car approached the Waymo AV from behind and the front of the passenger car made contact with the rear of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The passenger car sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",,33.9562003,-118.353132
30270-10487,1,Waymo LLC,Monthly,3.0,2025.0,APR-2025,SADHW2S17R1, ,,Jaguar,I-Pace, ,2024.0, ,5ce6300cb8b203c,14254.0, ,,5th Generation ADS, , ,5th Generation, , ,Version 9, , ,, ,Y,,, ,Y,Yes (specify below),"CA DMV, CA PUC",Yes,ADS,Waymo LLC, , ,Y, , , , , ,,2025-03-01, ,MAR-2025,17:20, ,f285742e6381c0f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25.0, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No,Y, , , , , , , , , , ,Stopped,No,No,No Passengers in Vehicle,0.0, ,Y, , , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On March [XXX], 2025 at 5:20 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] near [XXX]. 
The Waymo AV was parked near the curb facing northwest on a narrow portion of [XXX] after completing a rider drop-off when an SUV traveling southeast on [XXX] passed the Waymo AV.  As the SUV passed the stationary Waymo AV, the rear driver side of the SUV made contact with the rear driver side of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The SUV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.",,37.7792588,-122.4193286
