date,prcp,tavg,tmax,tmin,awnd,wsf2,wsf5,wdf2,wdf5
2023-01-01,25,143,161,122,64.0,139.0,165.0,270.0,260.0
2023-01-02,8,123,144,78,25.0,63.0,85.0,240.0,290.0
2023-01-03,13,119,144,100,55.0,94.0,121.0,90.0,110.0
2023-01-04,137,144,161,139,47.0,72.0,116.0,90.0,170.0
2023-01-05,272,146,167,128,58.0,112.0,148.0,140.0,140.0
2023-01-06,0,127,167,78,21.0,63.0,72.0,270.0,270.0
2023-01-07,0,137,200,89,22.0,54.0,76.0,270.0,10.0
2023-01-08,0,132,172,89,21.0,54.0,58.0,260.0,220.0
2023-01-09,264,139,156,117,50.0,94.0,134.0,150.0,140.0
2023-01-10,165,152,167,122,54.0,134.0,192.0,260.0,210.0
2023-01-11,0,127,161,83,19.0,45.0,63.0,270.0,290.0
2023-01-12,0,147,222,106,30.0,58.0,72.0,50.0,310.0
2023-01-13,0,156,178,111,21.0,63.0,72.0,260.0,270.0
2023-01-14,389,127,150,111,41.0,107.0,125.0,260.0,250.0
2023-01-15,122,137,150,100,46.0,94.0,121.0,110.0,130.0
2023-01-16,124,123,150,100,88.0,143.0,170.0,260.0,260.0
2023-01-17,0,117,144,83,34.0,76.0,94.0,280.0,280.0
2023-01-18,0,115,156,72,23.0,54.0,67.0,260.0,270.0
2023-01-19,0,110,139,61,21.0,63.0,76.0,250.0,240.0
2023-01-20,0,112,150,56,24.0,63.0,72.0,260.0,240.0
2023-01-21,0,114,167,50,20.0,58.0,76.0,250.0,280.0
2023-01-22,0,107,156,50,25.0,94.0,134.0,20.0,30.0
2023-01-23,0,134,200,83,30.0,81.0,116.0,40.0,30.0
2023-01-24,0,123,183,50,20.0,58.0,67.0,240.0,240.0
2023-01-25,0,124,206,61,19.0,54.0,63.0,260.0,260.0
2023-01-26,0,141,200,78,24.0,63.0,76.0,240.0,250.0
2023-01-27,0,141,194,72,20.0,58.0,72.0,260.0,260.0
2023-01-28,0,126,172,83,24.0,63.0,72.0,260.0,270.0
2023-01-29,71,128,139,94,38.0,94.0,107.0,260.0,250.0
2023-01-30,102,109,150,89,31.0,76.0,103.0,60.0,290.0
2023-01-31,0,117,194,61,16.0,58.0,72.0,190.0,180.0
2023-02-01,0,124,183,50,22.0,63.0,76.0,270.0,270.0
2023-02-02,0,124,194,67,22.0,58.0,67.0,270.0,270.0
2023-02-03,0,142,194,100,25.0,76.0,89.0,260.0,260.0
2023-02-04,0,136,189,78,26.0,58.0,67.0,250.0,250.0
2023-02-05,3,139,172,100,50.0,125.0,143.0,260.0,260.0
2023-02-06,0,146,217,117,45.0,94.0,134.0,260.0,320.0
2023-02-07,0,152,194,83,20.0,67.0,89.0,230.0,210.0
2023-02-08,0,148,217,83,22.0,67.0,76.0,270.0,260.0
2023-02-09,0,154,244,89,19.0,54.0,67.0,260.0,290.0
