date,prcp,tavg,tmax,tmin,awnd,wsf2,wsf5,wdf2,wdf5
2023-01-01,0,123,172,94.0,42.0,94.0,107.0,270.0,270.0
2023-01-02,135,113,117,83.0,47.0,103.0,125.0,20.0,20.0
2023-01-03,0,103,128,89.0,30.0,76.0,76.0,30.0,30.0
2023-01-04,419,116,167,94.0,82.0,192.0,268.0,150.0,150.0
2023-01-05,109,145,156,117.0,68.0,179.0,250.0,150.0,150.0
2023-01-06,0,126,167,100.0,35.0,76.0,143.0,190.0,200.0
2023-01-07,48,142,167,111.0,81.0,157.0,233.0,140.0,190.0
2023-01-08,193,141,172,133.0,51.0,197.0,259.0,190.0,180.0
2023-01-09,356,149,167,111.0,44.0,134.0,188.0,160.0,150.0
2023-01-10,102,132,150,111.0,92.0,241.0,309.0,160.0,160.0
2023-01-11,135,127,156,111.0,58.0,98.0,130.0,110.0,110.0
2023-01-12,0,144,206,128.0,36.0,103.0,143.0,130.0,170.0
2023-01-13,142,156,172,122.0,58.0,139.0,165.0,140.0,140.0
2023-01-14,249,144,156,128.0,72.0,174.0,237.0,160.0,160.0
2023-01-15,193,122,133,94.0,47.0,103.0,125.0,70.0,100.0
2023-01-16,218,107,133,83.0,83.0,125.0,161.0,210.0,250.0
2023-01-17,0,99,144,56.0,21.0,63.0,85.0,200.0,200.0
2023-01-18,61,96,133,61.0,27.0,98.0,148.0,140.0,130.0
2023-01-19,0,109,128,83.0,33.0,72.0,94.0,350.0,330.0
2023-01-20,0,110,128,78.0,52.0,103.0,125.0,10.0,20.0
2023-01-21,0,87,139,44.0,19.0,63.0,76.0,270.0,280.0
2023-01-22,0,112,156,83.0,53.0,125.0,165.0,10.0,10.0
2023-01-23,0,132,172,83.0,42.0,98.0,125.0,10.0,10.0
2023-01-24,0,121,178,67.0,31.0,81.0,116.0,70.0,60.0
2023-01-25,0,121,206,67.0,18.0,58.0,67.0,70.0,70.0
2023-01-26,0,146,200,106.0,34.0,98.0,134.0,90.0,80.0
2023-01-27,0,118,144,72.0,36.0,107.0,130.0,290.0,300.0
2023-01-28,0,96,139,61.0,36.0,94.0,125.0,280.0,280.0
2023-01-29,5,107,117,89.0,75.0,125.0,157.0,270.0,290.0
2023-01-30,0,91,128,50.0,34.0,89.0,116.0,10.0,20.0
2023-01-31,0,86,156,22.0,23.0,67.0,98.0,290.0,280.0
2023-02-01,0,89,139,39.0,11.0,40.0,49.0,20.0,20.0
2023-02-02,0,89,167,44.0,20.0,40.0,161.0,120.0,190.0
2023-02-03,147,123,144,100.0,22.0,72.0,94.0,110.0,110.0
2023-02-04,163,112,156,106.0,49.0,179.0,237.0,210.0,220.0
2023-02-05,18,129,139,89.0,65.0,130.0,174.0,290.0,290.0
2023-02-06,0,99,150,50.0,26.0,76.0,94.0,290.0,290.0
2023-02-07,0,101,161,56.0,16.0,76.0,107.0,290.0,290.0
2023-02-08,0,106,172,61.0,20.0,58.0,67.0,290.0,290.0
2023-02-09,0,113,178,61.0,20.0,94.0,112.0,290.0,280.0
2023-02-10,0,115,144,67.0,54.0,112.0,148.0,270.0,310.0
2023-02-11,15,97,133,67.0,33.0,98.0,121.0,40.0,10.0
2023-02-12,0,101,178,56.0,28.0,81.0,116.0,290.0,310.0
2023-02-13,0,108,156,61.0,81.0,206.0,250.0,290.0,290.0
2023-02-14,0,101,117,67.0,82.0,148.0,192.0,280.0,290.0
2023-02-15,0,101,150,50.0,42.0,107.0,139.0,10.0,10.0
2023-02-16,0,86,144,39.0,14.0,54.0,63.0,210.0,210.0
2023-02-17,0,104,167,56.0,22.0,63.0,81.0,280.0,290.0
2023-02-18,0,102,156,44.0,18.0,72.0,85.0,300.0,310.0
2023-02-19,0,108,189,50.0,24.0,67.0,85.0,300.0,300.0
2023-02-20,0,117,194,72.0,26.0,94.0,112.0,300.0,300.0
2023-02-21,0,123,133,78.0,132.0,219.0,304.0,300.0,280.0
2023-02-22,10,85,106,56.0,89.0,143.0,201.0,310.0,310.0
2023-02-23,86,69,106,39.0,64.0,165.0,224.0,200.0,200.0
2023-02-24,150,73,106,50.0,49.0,103.0,143.0,130.0,140.0
2023-02-25,0,78,111,67.0,31.0,63.0,85.0,280.0,300.0
2023-02-26,53,93,117,67.0,50.0,134.0,183.0,190.0,190.0
2023-02-27,137,79,111,50.0,56.0,174.0,233.0,190.0,190.0
2023-02-28,84,87,133,61.0,53.0,107.0,157.0,230.0,250.0
2023-03-01,0,81,128,39.0,66.0,112.0,148.0,290.0,300.0
2023-03-02,0,101,139,44.0,47.0,125.0,148.0,280.0,290.0
2023-03-03,0,103,144,83.0,49.0,107.0,134.0,280.0,290.0
2023-03-04,53,98,117,83.0,51.0,161.0,219.0,210.0,220.0
2023-03-05,58,99,122,67.0,57.0,148.0,206.0,240.0,230.0
2023-03-06,51,89,128,56.0,38.0,76.0,98.0,210.0,240.0
2023-03-07,3,91,128,56.0,28.0,76.0,107.0,270.0,270.0
2023-03-08,28,98,133,72.0,34.0,98.0,121.0,210.0,220.0
2023-03-09,183,91,144,67.0,62.0,183.0,264.0,190.0,180.0
2023-03-10,130,126,156,100.0,47.0,165.0,246.0,210.0,210.0
2023-03-11,3,117,172,83.0,25.0,94.0,121.0,200.0,210.0
2023-03-12,145,138,150,128.0,58.0,107.0,174.0,190.0,190.0
2023-03-13,3,146,189,128.0,48.0,107.0,210.0,210.0,200.0
2023-03-14,180,151,178,89.0,96.0,246.0,344.0,200.0,210.0
2023-03-15,0,102,150,61.0,43.0,94.0,116.0,280.0,280.0
2023-03-16,0,107,156,72.0,38.0,94.0,116.0,280.0,290.0
2023-03-17,0,112,178,78.0,33.0,107.0,130.0,290.0,290.0
2023-03-18,10,124,178,83.0,17.0,139.0,197.0,200.0,210.0
2023-03-19,137,133,150,106.0,41.0,107.0,139.0,260.0,260.0
2023-03-20,15,114,139,94.0,35.0,76.0,107.0,290.0,280.0
2023-03-21,284,108,133,89.0,88.0,219.0,291.0,120.0,120.0
2023-03-22,56,105,144,94.0,58.0,107.0,139.0,290.0,300.0
2023-03-23,8,118,139,94.0,79.0,112.0,148.0,290.0,300.0
2023-03-24,0,107,139,78.0,79.0,148.0,192.0,300.0,300.0
2023-03-25,0,99,144,56.0,63.0,148.0,197.0,300.0,290.0
2023-03-26,0,100,144,61.0,48.0,103.0,130.0,280.0,280.0
2023-03-27,0,97,167,44.0,32.0,94.0,121.0,270.0,270.0
2023-03-28,160,115,128,83.0,55.0,161.0,219.0,170.0,180.0
2023-03-29,170,102,117,89.0,42.0,107.0,139.0,240.0,240.0
