date,prcp,tavg,tmax,tmin,awnd,wsf2,wsf5,wdf2,wdf5
2023-01-01,109.0,142.0,167.0,89.0,43.0,125.0,157.0,290.0,290.0
2023-01-02,28.0,106.0,144.0,83.0,32.0,72.0,116.0,230.0,210.0
2023-01-03,0.0,116.0,161.0,94.0,26.0,45.0,67.0,130.0,40.0
2023-01-04,0.0,129.0,189.0,94.0,24.0,67.0,89.0,70.0,80.0
2023-01-05,0.0,136.0,178.0,94.0,23.0,63.0,81.0,120.0,80.0
2023-01-06,0.0,131.0,161.0,94.0,18.0,40.0,72.0,300.0,310.0
2023-01-07,0.0,121.0,206.0,61.0,15.0,45.0,67.0,260.0,260.0
2023-01-08,0.0,133.0,217.0,67.0,15.0,45.0,63.0,100.0,100.0
2023-01-09,0.0,139.0,206.0,83.0,16.0,40.0,54.0,110.0,120.0
2023-01-10,0.0,143.0,211.0,94.0,26.0,45.0,58.0,120.0,150.0
2023-01-11,0.0,151.0,189.0,94.0,23.0,54.0,94.0,270.0,320.0
2023-01-12,0.0,135.0,233.0,67.0,19.0,58.0,89.0,60.0,40.0
2023-01-13,0.0,166.0,244.0,100.0,22.0,81.0,103.0,70.0,60.0
2023-01-14,0.0,148.0,183.0,89.0,22.0,58.0,72.0,200.0,330.0
2023-01-15,28.0,136.0,156.0,100.0,19.0,45.0,72.0,270.0,330.0
2023-01-16,66.0,127.0,161.0,100.0,36.0,72.0,98.0,130.0,120.0
2023-01-17,30.0,129.0,144.0,83.0,34.0,81.0,121.0,260.0,250.0
2023-01-18,0.0,104.0,156.0,72.0,20.0,45.0,67.0,270.0,310.0
2023-01-19,0.0,101.0,161.0,56.0,19.0,40.0,58.0,80.0,120.0
2023-01-20,0.0,106.0,144.0,72.0,33.0,72.0,112.0,270.0,300.0
2023-01-21,0.0,88.0,150.0,33.0,17.0,45.0,63.0,290.0,260.0
2023-01-22,0.0,92.0,156.0,39.0,28.0,63.0,116.0,280.0,260.0
2023-01-23,0.0,84.0,100.0,33.0,35.0,94.0,116.0,70.0,70.0
2023-01-24,0.0,64.0,133.0,17.0,35.0,94.0,116.0,70.0,70.0
2023-01-25,0.0,83.0,167.0,28.0,20.0,45.0,81.0,90.0,300.0
2023-01-26,0.0,103.0,172.0,22.0,31.0,81.0,134.0,60.0,30.0
2023-01-27,0.0,107.0,178.0,33.0,17.0,67.0,85.0,80.0,80.0
2023-01-28,0.0,103.0,183.0,39.0,21.0,54.0,58.0,90.0,80.0
2023-01-29,0.0,117.0,206.0,44.0,33.0,72.0,94.0,150.0,200.0
2023-01-30,0.0,128.0,172.0,83.0,31.0,89.0,107.0,170.0,160.0
2023-01-31,0.0,118.0,178.0,72.0,23.0,58.0,72.0,260.0,260.0
2023-02-01,0.0,121.0,200.0,61.0,26.0,72.0,98.0,260.0,250.0
2023-02-02,0.0,129.0,200.0,61.0,18.0,54.0,76.0,80.0,70.0
2023-02-03,0.0,146.0,233.0,67.0,18.0,67.0,85.0,70.0,70.0
2023-02-04,0.0,159.0,244.0,78.0,16.0,45.0,58.0,120.0,110.0
2023-02-05,0.0,156.0,239.0,83.0,24.0,67.0,89.0,270.0,290.0
2023-02-06,0.0,153.0,211.0,89.0,37.0,98.0,125.0,290.0,320.0
2023-02-07,0.0,133.0,206.0,61.0,26.0,67.0,94.0,260.0,240.0
2023-02-08,0.0,134.0,211.0,56.0,22.0,45.0,63.0,290.0,270.0
2023-02-09,0.0,137.0,206.0,61.0,39.0,94.0,130.0,30.0,20.0
2023-02-10,0.0,149.0,222.0,89.0,56.0,125.0,179.0,80.0,60.0
2023-02-11,0.0,166.0,239.0,117.0,37.0,76.0,116.0,140.0,120.0
2023-02-12,0.0,168.0,261.0,89.0,42.0,125.0,170.0,260.0,260.0
2023-02-13,10.0,135.0,150.0,83.0,32.0,81.0,107.0,240.0,230.0
2023-02-14,33.0,98.0,139.0,56.0,51.0,143.0,206.0,320.0,310.0
2023-02-15,0.0,90.0,128.0,44.0,41.0,89.0,134.0,290.0,340.0
2023-02-16,0.0,78.0,150.0,17.0,31.0,76.0,116.0,60.0,50.0
2023-02-17,0.0,118.0,189.0,83.0,62.0,103.0,134.0,90.0,70.0
2023-02-18,0.0,164.0,228.0,117.0,32.0,76.0,116.0,160.0,170.0
2023-02-19,0.0,167.0,239.0,117.0,25.0,63.0,85.0,200.0,160.0
2023-02-20,0.0,173.0,244.0,106.0,17.0,45.0,67.0,70.0,340.0
2023-02-21,3.0,174.0,200.0,128.0,32.0,89.0,125.0,190.0,190.0
2023-02-22,20.0,141.0,156.0,94.0,90.0,201.0,277.0,270.0,230.0
2023-02-23,0.0,115.0,161.0,83.0,38.0,81.0,116.0,160.0,150.0
2023-02-24,0.0,124.0,200.0,67.0,21.0,54.0,85.0,200.0,180.0
